n_samples,n_features,max_num_threads,fit_time,predict_time,run_id
100,10,1,0.017127331871634874,0.0006625100818661297,20260310_170126
1000,10,1,0.12774126825024723,0.010613217142620925,20260310_170126
10000,10,1,0.24715338889008207,0.08481032458469902,20260310_170126
100000,10,1,0.96864294433423,0.8259885973311611,20260310_170126
1000000,10,1,7.053341957995144,7.6411974580041715,20260310_170126
100,100,1,0.043567488260400154,0.000666223976234461,20260310_170126
1000,100,1,0.6477165837513894,0.010866395762383723,20260310_170126
10000,100,1,1.4379638124992198,0.09032326443411876,20260310_170126
100000,100,1,4.852723167001386,1.210496603998763,20260310_170126
1000000,100,1,39.138342291997105,11.621183667004516,20260310_170126
100,1000,1,0.4117452587990556,0.0006978786440916688,20260310_170126
1000,1000,1,7.068202292000933,0.012995231065006364,20260310_170126
100,10,2,0.06080357942449733,0.0024823331550217495,20260310_170126
1000,10,2,0.4473730000012438,0.007354585551611843,20260310_170126
10000,10,2,0.5757889065007475,0.04472923511089499,20260310_170126
100000,10,2,0.9793775276630186,0.4071949247998418,20260310_170126
1000000,10,2,4.2831785829985165,3.889999874998466,20260310_170126
100,100,2,0.08031181331956759,0.002553411330414487,20260310_170126
1000,100,2,0.7845193890025257,0.008937010816875304,20260310_170126
10000,100,2,1.3396640000028128,0.04860616661920046,20260310_170126
100000,100,2,3.243849958998908,0.5251416977480403,20260310_170126
1000000,100,2,23.03833725000004,5.397291583001788,20260310_170126
100,1000,2,0.4269243581991759,0.002572106667056217,20260310_170126
1000,1000,2,4.599162124999566,0.00880820511386111,20260310_170126
100,10,4,0.08377678287494443,0.0038531804289260226,20260310_170126
1000,10,4,0.6716553193327854,0.006568920567152701,20260310_170126
10000,10,4,0.8439131663326407,0.02587295244871385,20260310_170126
100000,10,4,1.1359301460033748,0.2086919125991699,20260310_170126
1000000,10,4,3.2055895829980727,1.9469617499999003,20260310_170126
100,100,4,0.10403522904889542,0.003855884078963994,20260310_170126
1000,100,4,0.8908112083348291,0.006892299979212662,20260310_170126
10000,100,4,1.310511604500789,0.028868610714042526,20260310_170126
100000,100,4,2.356246208997618,0.322446142714138,20260310_170126
1000000,100,4,17.13829099999566,3.3551415410038317,20260310_170126
100,1000,4,0.3846972361667819,0.003879414852581108,20260310_170126
1000,1000,4,3.5705507079983363,0.008225042212811264,20260310_170126
100,10,8,0.14606598807274299,0.007159179046253225,20260310_170126
1000,10,8,1.2178951669993694,0.009605893947386838,20260310_170126
10000,10,8,1.4983499170011783,0.02013747747987509,20260310_170126
100000,10,8,1.78373289549927,0.13228247137385551,20260310_170126
1000000,10,8,3.497173958006897,1.1835328535016743,20260310_170126
100,100,8,0.16316031084660118,0.007148243632036611,20260310_170126
1000,100,8,1.4571683329959342,0.010057731447247063,20260310_170126
10000,100,8,1.9437595624985988,0.025340989468117463,20260310_170126
100000,100,8,2.865910749998875,0.30700655957168366,20260310_170126
1000000,100,8,16.006468041996413,3.1845679999969434,20260310_170126
100,1000,8,0.5303574272493279,0.007585524647324884,20260310_170126
1000,1000,8,4.00293433299521,0.010500313523828896,20260310_170126
