n_samples,n_features,n_threads,n_cpus,system,machine,fit_time,predict_time,fit_speedup,predict_speedup
100,10,1,8,Linux,aarch64,0.037910575962271494,0.0015776328304405974,1.0,1.0
100,10,2,8,Linux,aarch64,0.05839042711429881,0.0014530633144496927,0.6492601242334096,1.0857288975312696
100,10,3,8,Linux,aarch64,0.06996658303448212,0.0013756619759291433,0.5418383222114442,1.1468172109467807
100,10,4,8,Linux,aarch64,0.07017215493103071,0.0013952259637386112,0.5402509870123302,1.1307364336979606
100,10,5,8,Linux,aarch64,0.07222479475000552,0.0013791385520335725,0.5248969705416656,1.1439262778307084
100,10,6,8,Linux,aarch64,0.06107441454545289,0.0013709678478414742,0.6207276196492661,1.1507438580157132
100,10,7,8,Linux,aarch64,0.0641973829687359,0.0013975792576827683,0.5905314860067417,1.1288324592455412
100,10,8,8,Linux,aarch64,0.06737112683333635,0.0013984056953180396,0.5627125111927431,1.1281653355121641
100,31,1,8,Linux,aarch64,0.047706493095239194,0.0016514673943899192,1.0,1.0
100,31,2,8,Linux,aarch64,0.0891493802173994,0.0014209211825279315,0.5351298346539515,1.1622512315931752
100,31,3,8,Linux,aarch64,0.1040529733499909,0.0014380847181891918,0.45848274738651057,1.148379767549032
100,31,4,8,Linux,aarch64,0.09756162204761105,0.0013404323509725235,0.4889883141954932,1.232040836071832
100,31,5,8,Linux,aarch64,0.08795222108696397,0.0013662254426220278,0.5424137390239269,1.208781027544372
100,31,6,8,Linux,aarch64,0.08968144791304875,0.001378895403170568,0.5319549829469006,1.197674160485713
100,31,7,8,Linux,aarch64,0.07766197015385282,0.001392717811413006,0.6142838380320496,1.18578751621938
100,31,8,8,Linux,aarch64,0.06668673474194058,0.001414970358557031,0.7153820513157568,1.1671392156045337
100,100,1,8,Linux,aarch64,0.09056523795653032,0.0015950602830957397,1.0,1.0
100,100,2,8,Linux,aarch64,0.17883135458333754,0.0014452961177741273,0.5064281829522566,1.1036217862068718
100,100,3,8,Linux,aarch64,0.1556301326923211,0.0013892783451397229,0.5819261115427866,1.1481214608115993
100,100,4,8,Linux,aarch64,0.15324610242859243,0.0013875616151205613,0.5909790625750544,1.1495419487783607
100,100,5,8,Linux,aarch64,0.15610107514286092,0.0013321491364841572,0.5801704944930496,1.1973586435715933
100,100,6,8,Linux,aarch64,0.14791356192855737,0.0014086787049315019,0.6122848829796524,1.1323095021680625
100,100,7,8,Linux,aarch64,0.1377554212000026,0.0013770548919483509,0.6574350190185373,1.1583127821716244
100,100,8,8,Linux,aarch64,0.1414048193333201,0.001416888808784512,0.6404678311780132,1.1257483813878615
100,316,1,8,Linux,aarch64,0.31275194485715474,0.0017000533500429512,1.0,1.0
100,316,2,8,Linux,aarch64,0.47346725559998504,0.001545229495752533,0.6605566512954114,1.1001947314078537
100,316,3,8,Linux,aarch64,0.41969803199997385,0.0013836228506231404,0.7451832532232942,1.2286970754185653
100,316,4,8,Linux,aarch64,0.39080959766666484,0.0013751952151206874,0.8002667967328474,1.2362269235308196
100,316,5,8,Linux,aarch64,0.3985702566666494,0.0014048204831466633,0.7846846061037861,1.2101570061357552
100,316,6,8,Linux,aarch64,0.3703683351666503,0.0014838942529674807,0.8444348913263047,1.1456701490980217
100,316,7,8,Linux,aarch64,0.37844336033331655,0.0014331574641837446,0.8264167842228659,1.1862292822172316
100,316,8,8,Linux,aarch64,0.3752195855000006,0.0014898096373790037,0.8335171108949329,1.141121192526198
