n_samples,n_features,max_num_threads,fit_time,predict_time,run_id
100,10,1,0.03578907969642638,0.0015104165298103942,20260311_092453
1000,10,1,0.23606484655557677,0.009998578149254254,20260311_092453
10000,10,1,0.38071353150002096,0.08117120576000161,20260311_092453
100000,10,1,1.2792119009999965,0.7636834393333629,20260311_092453
1000000,10,1,9.399141259999965,7.559142093999981,20260311_092453
100,100,1,0.08364988862501359,0.0015558833942448023,20260311_092453
1000,100,1,1.1395228984999903,0.01131355864971594,20260311_092453
10000,100,1,2.086946295999951,0.10308857660000399,20260311_092453
100000,100,1,7.216557533000014,1.6853824744999883,20260311_092453
1000000,100,1,65.00467951299993,17.349508190999927,20260311_092453
100,1000,1,0.5284739655000124,0.0017813530338378627,20260311_092453
1000,1000,1,10.187706646000038,0.019889060039604778,20260311_092453
100,10,2,0.06158700709090337,0.0013685217811205232,20260311_092453
1000,10,2,0.2752977104999985,0.005905144235986431,20260311_092453
10000,10,2,0.3519035741666509,0.042051210999998055,20260311_092453
100000,10,2,1.011074753999992,0.38821817766665845,20260311_092453
1000000,10,2,5.46140325500005,3.8541811929999312,20260311_092453
100,100,2,0.18260475283329924,0.0014317846828954676,20260311_092453
1000,100,2,0.8951251850000214,0.006559691842625636,20260311_092453
10000,100,2,1.490061636499945,0.05514441640539067,20260311_092453
100000,100,2,4.143521018000001,0.8683897086667306,20260311_092453
1000000,100,2,34.17415315900007,9.128300334999949,20260311_092453
100,1000,2,0.9076478443333448,0.0015606723166876136,20260311_092453
1000,1000,2,6.125561968000056,0.009272045527779937,20260311_092453
100,10,4,0.0641354589374643,0.0013262286361834662,20260311_092453
1000,10,4,0.2716308377499672,0.0037146529090910808,20260311_092453
10000,10,4,0.31432258942852187,0.021994725472533182,20260311_092453
100000,10,4,0.7571162099999734,0.1991840423636404,20260311_092453
1000000,10,4,3.4609001100000114,1.9866066534999618,20260311_092453
100,100,4,0.18563958581816306,0.0013912827051447674,20260311_092453
1000,100,4,0.7638124303332461,0.003933057754417818,20260311_092453
10000,100,4,1.0602748535000046,0.027084055040536688,20260311_092453
100000,100,4,2.474413807000019,0.44500547100001314,20260311_092453
1000000,100,4,17.91595933800022,4.678006441999969,20260311_092453
100,1000,4,0.8736659883332626,0.0014071343509146563,20260311_092453
1000,1000,4,3.944122231999927,0.005024078654142478,20260311_092453
100,10,8,0.0831893630400009,0.0013801589703438491,20260311_092453
1000,10,8,0.29299342985710347,0.0027187604837006,20260311_092453
10000,10,8,0.34521927999999963,0.012128911315144389,20260311_092453
100000,10,8,0.6527609070000722,0.10336405790004619,20260311_092453
1000000,10,8,2.6522431989999404,1.0601856015000521,20260311_092453
100,100,8,0.1876203809999879,0.001378294446279633,20260311_092453
1000,100,8,0.686189999333313,0.002732915232243494,20260311_092453
10000,100,8,0.9005668163332908,0.014258688262395371,20260311_092453
100000,100,8,1.7403340160000198,0.22592223266666325,20260311_092453
1000000,100,8,10.100067765999938,2.397378331000027,20260311_092453
100,1000,8,0.8758340863333464,0.0014138266303864457,20260311_092453
1000,1000,8,3.7160100859998693,0.003184811025480514,20260311_092453
100,10,16,0.10902492547369261,0.0015035337558210137,20260311_092453
1000,10,16,0.3566132751665994,0.0023132251248570634,20260311_092453
10000,10,16,0.4162132951999865,0.00744717636430712,20260311_092453
100000,10,16,0.6645391682499167,0.0565446388610869,20260311_092453
1000000,10,16,3.27672151999991,0.6259487729999478,20260311_092453
100,100,16,0.2145487389999971,0.001557367724510703,20260311_092453
1000,100,16,0.7523893963332284,0.002303167730724872,20260311_092453
10000,100,16,0.87506801999992,0.008318001755186558,20260311_092453
100000,100,16,1.370850315499979,0.12431508752943313,20260311_092453
1000000,100,16,6.550894931999892,1.3213066605001131,20260311_092453
100,1000,16,0.8724747983333904,0.001535273157327306,20260311_092453
1000,1000,16,3.245153997999978,0.002478384519204995,20260311_092453
100,10,32,0.15851575246153096,0.0019500455214484622,20260311_092453
1000,10,32,0.45218449380004133,0.002489807588314809,20260311_092453
10000,10,32,0.5058479912499365,0.005567708277773262,20260311_092453
100000,10,32,0.6701327200000833,0.033793564399983704,20260311_092453
1000000,10,32,3.1448989289999645,0.5549439704999486,20260311_092453
100,100,32,0.23477061333331525,0.002206241015433064,20260311_092453
1000,100,32,0.8176876293333256,0.002372994921710003,20260311_092453
10000,100,32,0.944662573999949,0.005314502265260691,20260311_092453
100000,100,32,1.4043150864999916,0.07070131275861904,20260311_092453
1000000,100,32,4.960164501000008,0.845962744333292,20260311_092453
100,1000,32,0.911979816999974,0.0019262437401373447,20260311_092453
1000,1000,32,3.505284318999884,0.002336395892645601,20260311_092453
