n_samples,n_features,n_threads,n_cpus,system,machine,fit_time,predict_time,fit_speedup,predict_speedup
100,10,1,32,Linux,x86_64,0.025005964312499886,0.0008645936629212834,1.0,1.0
100,10,2,32,Linux,x86_64,0.03845829903773521,0.0010030950777333585,0.6502098360607181,0.8619259351515915
100,10,3,32,Linux,x86_64,0.038621407961538415,0.0009751205721250587,0.6474638194806976,0.8866530843843172
100,10,4,32,Linux,x86_64,0.040292969060000135,0.0010058076189045054,0.6206036659960099,0.8596014254326012
100,10,5,32,Linux,x86_64,0.04118835489795545,0.0009840661839650704,0.607112480565257,0.878593002187719
100,10,6,32,Linux,x86_64,0.04258973751063877,0.0010159966008134558,0.5871359105289973,0.8509808617755691
100,10,7,32,Linux,x86_64,0.042225790145832796,0.001003776457600731,0.592196480542773,0.8613408457375776
100,10,8,32,Linux,x86_64,0.042474989291664635,0.0009943756088495962,0.5887220863268611,0.8694839809290386
100,10,9,32,Linux,x86_64,0.04298833685106245,0.0010456513303686555,0.5816918295568316,0.8268469974752116
100,10,10,32,Linux,x86_64,0.043588331630446744,0.0010376517702297388,0.5736848229133196,0.8332214021375014
100,10,11,32,Linux,x86_64,0.04405632413043686,0.0010056585329302579,0.5675908012312858,0.859728858862318
100,10,12,32,Linux,x86_64,0.04423251323913252,0.0010609355975588976,0.5653299458095702,0.8149351053076392
100,10,13,32,Linux,x86_64,0.04465419228889055,0.0010516376440585222,0.5599914147080224,0.8221402759838539
100,10,14,32,Linux,x86_64,0.04556449022727675,0.0010803418974087808,0.5488037765323291,0.8002963367384219
100,10,15,32,Linux,x86_64,0.0474764911860501,0.0010803319972988597,0.52670203057987,0.800303670615159
100,10,16,32,Linux,x86_64,0.04714854153487892,0.0010837036814728951,0.5303655955932657,0.7978137176263786
100,10,17,32,Linux,x86_64,0.04924372763415116,0.0011054665071829476,0.5077999882193712,0.7821075150657628
100,10,18,32,Linux,x86_64,0.04997796502437922,0.0012154963851783705,0.5003397857496197,0.7113091190266327
100,10,19,32,Linux,x86_64,0.047426734534888264,0.0011330676681761658,0.5272546077171915,0.7630556296015139
100,10,20,32,Linux,x86_64,0.0479327897381051,0.0011707902375633304,0.5216880646656982,0.7384701675687791
100,10,21,32,Linux,x86_64,0.052737844710517685,0.0014574238594327001,0.4741559775481849,0.5932341901262856
100,10,22,32,Linux,x86_64,0.05198108684615841,0.001493407867909565,0.48105889718132966,0.5789400749116984
100,10,23,32,Linux,x86_64,0.05629732311110539,0.0014928369895512584,0.4441767908422475,0.5791614683805344
100,10,24,32,Linux,x86_64,0.05532443054053024,0.0015288411176499277,0.4519877397415002,0.5655222461901741
100,10,25,32,Linux,x86_64,0.053685892184217356,0.0012071617223890028,0.4657827838027654,0.71622024363913
100,10,26,32,Linux,x86_64,0.055592286777773045,0.0015353257881822158,0.44980996037201676,0.5631336811875862
100,10,27,32,Linux,x86_64,0.05727582194285787,0.001559099558066908,0.4365884847090886,0.5545467949418659
100,10,28,32,Linux,x86_64,0.05679406694443085,0.0013079446967321335,0.4402918413461485,0.6610322784147132
100,10,29,32,Linux,x86_64,0.05953023788235027,0.0012959143711153752,0.42005483603003946,0.6671688208667211
100,10,30,32,Linux,x86_64,0.06092831806060503,0.001707680341297161,0.41041612682671796,0.5062971341958147
100,10,31,32,Linux,x86_64,0.06401119993751436,0.001722595907915606,0.3906498290441343,0.5019132223339996
100,10,32,32,Linux,x86_64,0.07247264821429715,0.0016781326317104137,0.345040024459418,0.5152117577500761
100,31,1,32,Linux,x86_64,0.029840893691181904,0.0008979729358155302,1.0,1.0
100,31,2,32,Linux,x86_64,0.04186358516665697,0.0010340757441857913,0.7128126645720071,0.8683821672295142
100,31,3,32,Linux,x86_64,0.042737927489357154,0.0010080045818640039,0.6982297795936188,0.890842117160814
100,31,4,32,Linux,x86_64,0.04429311526087076,0.0010113353933265752,0.6737140414583532,0.8879081477232167
100,31,5,32,Linux,x86_64,0.04398510680434613,0.001001967299952456,0.6784317660957311,0.8962098222747785
100,31,6,32,Linux,x86_64,0.04418467632608702,0.0009843340871050598,0.6753674842145122,0.9122643902909845
100,31,7,32,Linux,x86_64,0.04443585997828005,0.0009893661562779136,0.6715498182271691,0.9076244726156664
100,31,8,32,Linux,x86_64,0.04527221819999138,0.0010584444798946943,0.6591436178222781,0.8483892663929529
100,31,9,32,Linux,x86_64,0.044908630688883025,0.001022427305569354,0.664480150773533,0.878275580986641
100,31,10,32,Linux,x86_64,0.04573128886363778,0.001031198365464987,0.652526846119774,0.870805235819606
100,31,11,32,Linux,x86_64,0.04674409832557029,0.0010612982684348865,0.6383884759813224,0.84610798163252
100,31,12,32,Linux,x86_64,0.047471038441860694,0.0010603139682044231,0.6286126166742487,0.8468934322691161
100,31,13,32,Linux,x86_64,0.047134536372090925,0.0010620474373698064,0.6331003970339496,0.8455111365264326
100,31,14,32,Linux,x86_64,0.047425367744188214,0.0010346386147873845,0.6292179715325198,0.8679097445053907
100,31,15,32,Linux,x86_64,0.04859791576190479,0.0011257895678121652,0.6140364915520462,0.7976383522194394
100,31,16,32,Linux,x86_64,0.04832559714285318,0.0011206829602238273,0.6174966364713621,0.8012729448801322
100,31,17,32,Linux,x86_64,0.04887943765851748,0.0011239101814608736,0.6104999386379394,0.7989721515364626
100,31,18,32,Linux,x86_64,0.05147764807691438,0.0014091123450705703,0.5796864232529754,0.6372614213173744
100,31,19,32,Linux,x86_64,0.050274276900003655,0.0011543395037519725,0.5935618676432864,0.7779105998684365
100,31,20,32,Linux,x86_64,0.05042722942499438,0.001172999714537397,0.5917615151863012,0.7655355109525063
100,31,21,32,Linux,x86_64,0.05722677005714689,0.0014681134512100622,0.5214499029279944,0.6116509150402475
100,31,22,32,Linux,x86_64,0.05329847694737042,0.0015054351113623094,0.5598826720817612,0.5964873072496163
100,31,23,32,Linux,x86_64,0.05676764188889175,0.00118550879265318,0.5256673114868481,0.7574578454250502
100,31,24,32,Linux,x86_64,0.05638622063888318,0.0012253092124899475,0.5292231568824817,0.7328541454371031
100,31,25,32,Linux,x86_64,0.05855936239999794,0.0015344473865039504,0.5095836509856356,0.5852093357605771
