n_samples,n_features,n_threads,n_cpus,system,machine,fit_time,predict_time,fit_speedup,predict_speedup
100,10,1,4,Linux,x86_64,0.02335985459302327,0.0008622730133620137,1.0,1.0
100,10,2,4,Linux,x86_64,0.034934528362069665,0.0007348207755327868,0.6686752530595589,1.173446698940727
100,10,3,4,Linux,x86_64,0.03935384213725661,0.0010683173449012114,0.5935851069267847,0.807131904651187
100,10,4,4,Linux,x86_64,0.03980202996078331,0.0010349186658046437,0.58690108559889,0.8331794969526432
100,31,1,4,Linux,x86_64,0.03005836755224068,0.0008808260730954638,1.0,1.0
100,31,2,4,Linux,x86_64,0.04003518713725542,0.0007590005599393179,0.7507987273592474,1.160507804059968
100,31,3,4,Linux,x86_64,0.04305655282978949,0.0010594402468221843,0.6981136569633654,0.8314070337968774
100,31,4,4,Linux,x86_64,0.042421634437497246,0.0010251238021528207,0.7085622218664811,0.859238729259507
100,100,1,4,Linux,x86_64,0.046873604744187926,0.0009061508374091678,1.0,1.0
100,100,2,4,Linux,x86_64,0.05653020300000043,0.0007548895947167655,0.829178072192445,1.2003753181273553
100,100,3,4,Linux,x86_64,0.06070956212121125,0.0007684630956589161,0.772095912182684,1.179172874439978
100,100,4,4,Linux,x86_64,0.06150571796969688,0.0010366003544036563,0.7621015783814113,0.8741564032461339
100,316,1,4,Linux,x86_64,0.2847108608749913,0.0009424789477154133,1.0,1.0
100,316,2,4,Linux,x86_64,0.22742244366666378,0.000762819476735311,1.251903094016068,1.2355202986544114
100,316,3,4,Linux,x86_64,0.22235380970000165,0.0010898204831155261,1.2804406691260266,0.8648020130995336
100,316,4,4,Linux,x86_64,0.2119088914999992,0.0010446872543077763,1.343553160321224,0.9021637277846491
100,1000,1,4,Linux,x86_64,0.6474370887499958,0.0009913925500493607,1.0,1.0
100,1000,2,4,Linux,x86_64,0.6373983747499921,0.0007900393372832557,1.0157495130167868,1.2548647937690134
100,1000,3,4,Linux,x86_64,0.5717407842499895,0.0010940691202843222,1.1323961952431028,0.9061516605017803
100,1000,4,4,Linux,x86_64,0.5410644527499997,0.0010542909720756097,1.1965988256285354,0.9403405476360863
100,3162,1,4,Linux,x86_64,1.4953959670000074,0.001051556582018873,1.0,1.0
100,3162,2,4,Linux,x86_64,1.2673988844999826,0.0008144068554559978,1.1798937061475911,1.2911931855363517
100,3162,3,4,Linux,x86_64,1.2889567205000105,0.0011275378652769689,1.1601599520113564,0.9326130983286918
100,3162,4,4,Linux,x86_64,1.1857270229999983,0.001067316917289867,1.2611637737803414,0.985233687374681
100,10000,1,4,Linux,x86_64,5.089723456999991,0.0011655697500003062,1.0,1.0
100,10000,2,4,Linux,x86_64,4.2590293700000075,0.0008509668366648666,1.195043052027599,1.3697005568024723
100,10000,3,4,Linux,x86_64,4.227203486000008,0.0011385854832094652,1.2040403244974003,1.0236998162973037
100,10000,4,4,Linux,x86_64,3.87760489599998,0.0010859806340939716,1.3125946540480171,1.0732877856267993
316,10,1,4,Linux,x86_64,0.05956905794117768,0.0023214579118323773,1.0,1.0
316,10,2,4,Linux,x86_64,0.06614831283871118,0.0015324509142435438,0.9005378275697576,1.5148660816834758
316,10,3,4,Linux,x86_64,0.06800200876666812,0.0017281949974087072,0.8759896806221416,1.3432847076361296
316,10,4,4,Linux,x86_64,0.08144278935999637,0.0015524119581070755,0.7314221235457491,1.4953878058650318
316,31,1,4,Linux,x86_64,0.0916775503181849,0.002446021635694918,1.0,1.0
316,31,2,4,Linux,x86_64,0.0906682809565273,0.001540834630484901,1.0111314491794712,1.5874653822682805
316,31,3,4,Linux,x86_64,0.10711559905263057,0.0017279697089812177,0.8558748784398781,1.4155465937751026
316,31,4,4,Linux,x86_64,0.1040724767500052,0.0015538477274840484,0.8809010141884639,1.5741707455822944
316,100,1,4,Linux,x86_64,0.19754713636363744,0.0024655356514775516,1.0,1.0
316,100,2,4,Linux,x86_64,0.16406456315384224,0.0015799988815154203,1.2040816893432302,1.5604667068579117
316,100,3,4,Linux,x86_64,0.17626559158333066,0.0014784404279374172,1.120735672737613,1.6676597885768303
316,100,4,4,Linux,x86_64,0.1733622797500042,0.0015754188740163678,1.1395047218374657,1.5650032458935337
316,316,1,4,Linux,x86_64,0.5247222502499937,0.002749369640110462,1.0,1.0
316,316,2,4,Linux,x86_64,0.39650876999999696,0.001710032011111645,1.3233559758337698,1.6077884052727012
316,316,3,4,Linux,x86_64,0.437256673599984,0.001873462637639909,1.2000325710981052,1.4675337446675611
316,316,4,4,Linux,x86_64,0.39504194133334636,0.0016434225135578816,1.3282697236626322,1.6729536180919724
316,1000,1,4,Linux,x86_64,1.5833696274999909,0.0030020428470777715,1.0,1.0
