n_samples,n_features,n_threads,n_cpus,system,machine,fit_time,predict_time,fit_speedup,predict_speedup
100,10,1,16,Linux,aarch64,0.03884590974999906,0.0015811925422929151,1.0,1.0
100,10,2,16,Linux,aarch64,0.053717297842108803,0.0014489653280227064,0.7231545760953725,1.0912562997284754
100,10,3,16,Linux,aarch64,0.06009944673528413,0.001397188067040679,0.6463605217715389,1.1316962831224058
100,10,4,16,Linux,aarch64,0.07032515544826844,0.0013728658531217736,0.5523757395541674,1.1517458451584512
100,10,5,16,Linux,aarch64,0.06521661554839855,0.0013708637847842256,0.5956443679781379,1.1534279042478282
100,10,6,16,Linux,aarch64,0.07118049479312315,0.0013445405235224354,0.5457381247896582,1.176009584412151
100,10,7,16,Linux,aarch64,0.07472811092592717,0.0013784768635435464,0.5198299444302069,1.1470577302460216
100,10,8,16,Linux,aarch64,0.07732525065384047,0.0014228271443808404,0.5023703049331109,1.111303329106073
100,10,9,16,Linux,aarch64,0.0773112025185288,0.0014310375965655318,0.5024615900999477,1.1049273241232467
100,10,10,16,Linux,aarch64,0.08178108116001112,0.0014673555363184866,0.47499873074548843,1.0775797025034841
100,10,11,16,Linux,aarch64,0.07969421980769854,0.0015013896391614778,0.4874369790398087,1.0531526933781208
100,10,12,16,Linux,aarch64,0.08093111691999183,0.001521465479848254,0.47998731796080324,1.039256271821966
100,10,13,16,Linux,aarch64,0.08446173975000211,0.0015197824498488692,0.4599231541403111,1.0404071598867013
100,10,14,16,Linux,aarch64,0.10232828444999882,0.001583295014240232,0.37962045351185897,0.9986720908432054
100,10,15,16,Linux,aarch64,0.08911413569564561,0.0015729865825496365,0.4359118724179826,1.0052168021229893
100,10,16,16,Linux,aarch64,0.09980051361905919,0.0015590818768501402,0.38923556945082244,1.0141818500818225
100,31,1,16,Linux,aarch64,0.05207200138460895,0.0016121894311031278,1.0,1.0
100,31,2,16,Linux,aarch64,0.08829685086955222,0.0014325861997148903,0.5897379223811612,1.1253699298680817
100,31,3,16,Linux,aarch64,0.08722281017391316,0.0013622127426821365,0.5969998132459023,1.18350781826398
100,31,4,16,Linux,aarch64,0.09036174386955795,0.0013635153360591365,0.5762615810046527,1.182377189656491
100,31,5,16,Linux,aarch64,0.09680419414287046,0.0013686058775653858,0.5379105920530407,1.1779793273802484
100,31,6,16,Linux,aarch64,0.107145961578944,0.0014233735042689841,0.48599126478736066,1.1326538159294428
100,31,7,16,Linux,aarch64,0.09788856209523342,0.0013734259601922497,0.5319518467739812,1.1738451710039444
100,31,8,16,Linux,aarch64,0.10788093726316554,0.0014196139261891665,0.4826802835201935,1.1356534346143772
100,31,9,16,Linux,aarch64,0.1127837370555527,0.0014384719618981835,0.4616977832447633,1.1207652799681334
100,31,10,16,Linux,aarch64,0.11726321399997788,0.0014800124075440618,0.4440608406368494,1.0893080509901947
